Ref,Val,Package,PosX,PosY,Rot,Side
"AN1","AN1","JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe",146.026000,-80.137000,180.000000,top
"AN2","AN2","JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe",146.026000,-75.184000,180.000000,top
"AN3","AN3","JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe",146.026000,-70.104000,180.000000,top
"AN4","AN4","JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe",146.026000,-65.024000,180.000000,top
"AN5","AN5","JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe",138.430000,-80.137000,180.000000,top
"AN6","AN6","JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe",138.430000,-75.184000,180.000000,top
"AN7","AN7","JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe",138.430000,-70.104000,180.000000,top
"AN8","AN8","JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe",138.430000,-65.024000,180.000000,top
"AN9","AN9","JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe",123.444000,-65.024000,180.000000,top
"AN10","AN10","JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe",123.444000,-70.104000,180.000000,top
"AN11","AN11","JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe",123.444000,-75.184000,180.000000,top
"AN12","AN12","JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe",130.937000,-65.024000,180.000000,top
"AN13","AN13","JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe",123.444000,-80.137000,180.000000,top
"AN14","AN14","JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe",130.937000,-70.104000,180.000000,top
"AN15","AN15","JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe",130.937000,-75.184000,180.000000,top
"AN16","AN16","JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe",130.937000,-80.137000,180.000000,top
"C1","0.1uF","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",110.490000,-85.590500,-90.000000,top
"C2","22uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",103.639244,-82.635446,-90.000000,top
"C3","22uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",101.092000,-82.638500,-90.000000,top
"C4","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",99.187000,-77.240623,90.000000,top
"C5","470nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",91.720844,-76.946854,0.000000,top
"C6","220nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",92.837000,-79.502000,-90.000000,top
"C7","100pF","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",91.873500,-73.852011,180.000000,top
"C8","2.2uF","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",102.616000,-92.961000,90.000000,top
"C9","0.1uF","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",152.273000,-92.202000,90.000000,top
"C10","100uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",150.622000,-113.665000,90.000000,top
"C11","0.1uF","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",150.622000,-116.840000,180.000000,top
"C12","0.1uF","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",173.406500,-136.652000,0.000000,top
"C13","0.1uF","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",113.157000,-60.706000,0.000000,top
"C14","1nF","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",114.046000,-78.105000,90.000000,top
"C15","47uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",106.045000,-61.341000,90.000000,top
"D1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",106.680000,-82.618000,-90.000000,top
"D2","BAT54J","D_SOD-323F",97.615000,-135.636000,180.000000,top
"D3","BAT54J","D_SOD-323F",97.615000,-122.936000,180.000000,top
"D4","BAT54J","D_SOD-323F",107.526000,-122.936000,180.000000,top
"D5","BAT54J","D_SOD-323F",97.615000,-125.476000,180.000000,top
"D6","BAT54J","D_SOD-323F",107.526000,-128.016000,180.000000,top
"D7","BAT54J","D_SOD-323F",97.615000,-128.016000,180.000000,top
"D8","BAT54J","D_SOD-323F",107.526000,-130.556000,180.000000,top
"D9","BAT54J","D_SOD-323F",97.615000,-130.556000,180.000000,top
"D10","BAT54J","D_SOD-323F",107.526000,-133.096000,180.000000,top
"D11","BAT54J","D_SOD-323F",97.615000,-133.096000,180.000000,top
"D12","BAT54J","D_SOD-323F",97.615000,-138.176000,180.000000,top
"D13","BAT54J","D_SOD-323F",107.526000,-138.176000,180.000000,top
"D14","BAT54J","D_SOD-323F",107.526000,-135.636000,180.000000,top
"D15","BAT54J","D_SOD-323F",107.526000,-125.476000,180.000000,top
"D16","BAT54J","D_SOD-323F",127.338000,-122.920210,180.000000,top
"D17","BAT54J","D_SOD-323F",137.234000,-125.476000,180.000000,top
"D18","BAT54J","D_SOD-323F",127.338000,-125.460210,180.000000,top
"D19","BAT54J","D_SOD-323F",137.234000,-122.936000,180.000000,top
"D20","BAT54J","D_SOD-323F",137.234000,-128.016000,180.000000,top
"D21","BAT54J","D_SOD-323F",127.338000,-128.000210,180.000000,top
"D22","BAT54J","D_SOD-323F",137.234000,-130.556000,180.000000,top
"D23","BAT54J","D_SOD-323F",127.338000,-130.540210,180.000000,top
"D24","BAT54J","D_SOD-323F",137.234000,-133.096000,180.000000,top
"D25","BAT54J","D_SOD-323F",127.338000,-133.080210,180.000000,top
"D26","BAT54J","D_SOD-323F",117.432000,-128.016000,180.000000,top
"D27","BAT54J","D_SOD-323F",137.234000,-135.636000,180.000000,top
"D28","BAT54J","D_SOD-323F",127.338000,-135.620210,180.000000,top
"D29","BAT54J","D_SOD-323F",117.432000,-125.476000,180.000000,top
