Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AN1,AN1,JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe,144.526,-80.137,180.0,top
AN10,AN10,JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe,121.944,-70.104,180.0,top
AN11,AN11,JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe,121.944,-75.184,180.0,top
AN12,AN12,JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe,129.437,-65.024,180.0,top
AN13,AN13,JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe,121.944,-80.137,180.0,top
AN14,AN14,JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe,129.437,-70.104,180.0,top
AN15,AN15,JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe,129.437,-75.184,180.0,top
AN16,AN16,JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe,129.437,-80.137,180.0,top
AN2,AN2,JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe,144.526,-75.184,180.0,top
AN3,AN3,JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe,144.526,-70.104,180.0,top
AN4,AN4,JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe,144.526,-65.024,180.0,top
AN5,AN5,JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe,136.93,-80.137,180.0,top
AN6,AN6,JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe,136.93,-75.184,180.0,top
AN7,AN7,JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe,136.93,-70.104,180.0,top
AN8,AN8,JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe,136.93,-65.024,180.0,top
AN9,AN9,JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical_SilkSafe,121.944,-65.024,180.0,top
C1,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,110.236,-85.6996,-90.0,top
C10,100uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,150.622,-113.665,90.0,top
C11,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,150.0124,-117.2972,180.0,top
C12,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,172.6184,-137.1092,0.0,top
C13,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,113.1824,-60.452,0.0,top
C14,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,114.173,-78.486,90.0,top
C15,47uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,106.045,-61.341,90.0,top
C2,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,103.639244,-82.635446,-90.0,top
C3,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,101.092,-82.6385,-90.0,top
C4,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,99.187,-77.240623,90.0,top
C5,470nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,91.720844,-76.946854,0.0,top
C6,220nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,92.837,-79.502,-90.0,top
C7,100pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,91.7975,-73.787,180.0,top
C8,2.2uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,102.2604,-92.3036,90.0,top
C9,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,151.9428,-92.0496,90.0,top
D1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,106.68,-82.618,-90.0,top
D10,BAT54J,D_SOD-323F,107.526,-133.096,180.0,top
D11,BAT54J,D_SOD-323F,97.615,-133.096,180.0,top
D12,BAT54J,D_SOD-323F,97.615,-138.176,180.0,top
D13,BAT54J,D_SOD-323F,107.526,-138.176,180.0,top
D14,BAT54J,D_SOD-323F,107.526,-135.636,180.0,top
D15,BAT54J,D_SOD-323F,107.526,-125.476,180.0,top
D16,BAT54J,D_SOD-323F,127.338,-122.92021,180.0,top
D17,BAT54J,D_SOD-323F,137.234,-125.476,180.0,top
D18,BAT54J,D_SOD-323F,127.338,-125.46021,180.0,top
D19,BAT54J,D_SOD-323F,137.234,-122.936,180.0,top
D2,BAT54J,D_SOD-323F,97.615,-135.636,180.0,top
D20,BAT54J,D_SOD-323F,137.234,-128.016,180.0,top
D21,BAT54J,D_SOD-323F,127.338,-128.00021,180.0,top
D22,BAT54J,D_SOD-323F,137.234,-130.556,180.0,top
D23,BAT54J,D_SOD-323F,127.338,-130.54021,180.0,top
D24,BAT54J,D_SOD-323F,137.234,-133.096,180.0,top
D25,BAT54J,D_SOD-323F,127.338,-133.08021,180.0,top
D26,BAT54J,D_SOD-323F,117.432,-128.016,180.0,top
D27,BAT54J,D_SOD-323F,137.234,-135.636,180.0,top
D28,BAT54J,D_SOD-323F,127.338,-135.62021,180.0,top
D29,BAT54J,D_SOD-323F,117.432,-125.476,180.0,top
D3,BAT54J,D_SOD-323F,97.615,-122.936,180.0,top
D30,BAT54J,D_SOD-323F,137.234,-138.176,180.0,top
D31,BAT54J,D_SOD-323F,127.338,-138.16021,180.0,top
D32,BAT54J,D_SOD-323F,117.432,-133.096,180.0,top
D33,BAT54J,D_SOD-323F,117.432,-135.636,180.0,top
D34,BAT54J,D_SOD-323F,117.432,-130.556,180.0,top
D35,BAT54J,D_SOD-323F,117.427,-122.936,180.0,top
D36,BAT54J,D_SOD-323F,117.432,-138.176,180.0,top
D37,BAT54J,D_SOD-323F,157.051,-125.476,180.0,top
D38,BAT54J,D_SOD-323F,157.051,-133.096,180.0,top
