Designator,Mid X,Mid Y,Rotation,Layer
AN1,144.526,-80.137,180.0,top
AN10,121.944,-70.104,180.0,top
AN11,121.944,-75.184,180.0,top
AN12,129.437,-65.024,180.0,top
AN13,121.944,-80.137,180.0,top
AN14,129.437,-70.104,180.0,top
AN15,129.437,-75.184,180.0,top
AN16,129.437,-80.137,180.0,top
AN2,144.526,-75.184,180.0,top
AN3,144.526,-70.104,180.0,top
AN4,144.526,-65.024,180.0,top
AN5,136.93,-80.137,180.0,top
AN6,136.93,-75.184,180.0,top
AN7,136.93,-70.104,180.0,top
AN8,136.93,-65.024,180.0,top
AN9,121.944,-65.024,180.0,top
C1,110.236,-85.6996,270.0,top
C10,150.622,-113.665,90.0,top
C11,150.0124,-117.2972,180.0,top
C12,172.6184,-137.1092,0.0,top
C13,113.1824,-60.452,0.0,top
C14,114.173,-78.486,90.0,top
C15,106.045,-61.341,90.0,top
C2,103.639244,-82.635446,270.0,top
C3,101.092,-82.6385,270.0,top
C4,99.187,-77.240623,90.0,top
C5,91.720844,-76.946854,0.0,top
C6,92.837,-79.502,270.0,top
C7,91.7975,-73.787,180.0,top
C8,102.2604,-92.3036,90.0,top
C9,151.9428,-92.0496,90.0,top
D1,106.68,-82.618,270.0,top
D10,107.526,-133.096,180.0,top
D11,97.615,-133.096,180.0,top
D12,97.615,-138.176,180.0,top
D13,107.526,-138.176,180.0,top
D14,107.526,-135.636,180.0,top
D15,107.526,-125.476,180.0,top
D16,127.338,-122.92021,180.0,top
D17,137.234,-125.476,180.0,top
D18,127.338,-125.46021,180.0,top
D19,137.234,-122.936,180.0,top
D2,97.615,-135.636,180.0,top
D20,137.234,-128.016,180.0,top
D21,127.338,-128.00021,180.0,top
D22,137.234,-130.556,180.0,top
D23,127.338,-130.54021,180.0,top
D24,137.234,-133.096,180.0,top
D25,127.338,-133.08021,180.0,top
D26,117.432,-128.016,180.0,top
D27,137.234,-135.636,180.0,top
D28,127.338,-135.62021,180.0,top
D29,117.432,-125.476,180.0,top
D3,97.615,-122.936,180.0,top
D30,137.234,-138.176,180.0,top
D31,127.338,-138.16021,180.0,top
D32,117.432,-133.096,180.0,top
D33,117.432,-135.636,180.0,top
D34,117.432,-130.556,180.0,top
D35,117.427,-122.936,180.0,top
D36,117.432,-138.176,180.0,top
D37,157.051,-125.476,180.0,top
D38,157.051,-133.096,180.0,top
D39,157.051,-130.556,180.0,top
D4,107.526,-122.936,180.0,top
D40,147.145,-138.176,180.0,top
D41,147.145,-135.636,180.0,top
D42,147.145,-133.096,180.0,top
D43,147.145,-130.556,180.0,top
D44,147.145,-128.016,180.0,top
D45,147.145,-125.476,180.0,top
D46,147.145163,-122.936,180.0,top
D47,157.051,-122.936,180.0,top
D48,157.051,-138.176,180.0,top
D49,157.051,-128.016,180.0,top
D5,97.615,-125.476,180.0,top
D50,157.051,-135.636,180.0,top
D51,166.868,-130.556,180.0,top
D52,166.868,-125.476,180.0,top
D53,166.868,-128.016,180.0,top
D54,166.868,-122.936,180.0,top
D55,166.868,-133.096,180.0,top
D56,166.868,-138.176,180.0,top
D57,166.868,-135.636,180.0,top
D58,97.615,-140.716,180.0,top
D59,107.526,-140.716,180.0,top
D6,107.526,-128.016,180.0,top
D60,117.432,-140.716,180.0,top
D61,137.234,-140.716,180.0,top
D62,127.338,-140.70021,180.0,top
D63,157.051,-140.716,180.0,top
D64,147.145,-140.716,180.0,top
D65,166.868,-140.716,180.0,top
D7,97.615,-128.016,180.0,top
D8,107.526,-130.556,180.0,top
D9,97.615,-130.556,180.0,top
J1,111.775,-63.119,90.0,top
J2,100.534,-68.4485,0.0,top
J26,177.927,-79.556428,90.0,top
J27,177.927,-87.140142,90.0,top
J28,177.927,-71.972714,90.0,top
J29,177.927,-64.389,90.0,top
J30,147.135,-99.06,270.0,top
J31,147.135,-112.141,270.0,top
J32,177.927,-102.30757,90.0,top
J33,177.8,-117.475,90.0,top
J34,177.927,-109.891284,90.0,top
J35,177.927,-94.723856,90.0,top
JR1,92.71,-131.826,180.0,top
JR2,102.616,-131.826,180.0,top
JR3,112.522,-131.826,180.0,top
JR4,122.428,-131.81021,180.0,top
JR5,132.334,-131.826,180.0,top
JR6,142.24,-131.826,180.0,top
JR7,152.146,-131.826,180.0,top
JR8,161.958,-131.826,180.0,top
JSPI1,152.469,-83.312,270.0,top
JSPI2,157.295,-83.312,270.0,top
